unique_id,ds,y,MLP
slug_flow,1501,0.4593967497231161,0.44587526
slug_flow,1502,0.4712825414543311,0.4679687
slug_flow,1503,0.4842310975726374,0.474172
slug_flow,1504,0.4965635111475073,0.5025329
slug_flow,1505,0.5104207416834884,0.53058004
slug_flow,1506,0.523391248559074,0.5507902
slug_flow,1507,0.5381438961246698,0.5851163
slug_flow,1508,0.5585820071598588,0.6149937
slug_flow,1509,0.582845200651655,0.65809363
slug_flow,1510,0.6064303113443252,0.6940723
slug_flow,1511,0.6343012530622394,0.72617596
slug_flow,1512,0.6732562405350944,0.7612148
slug_flow,1513,0.7175141832318819,0.8073637
slug_flow,1514,0.7661448906461086,0.85006356
slug_flow,1515,0.8172966751340083,0.87014794
slug_flow,1516,0.8782437133900489,0.88853747
slug_flow,1517,0.9347397466056742,0.88896894
slug_flow,1518,0.969825315438902,0.88563025
slug_flow,1519,0.9813579390455724,0.86593956
slug_flow,1520,0.970998920283543,0.86135435
slug_flow,1521,0.9352430926834868,0.80495554
slug_flow,1522,0.870869562949556,0.74257904
slug_flow,1523,0.78197551599493,0.6725295
slug_flow,1524,0.6836187366448117,0.6121357
slug_flow,1525,0.5738997237247263,0.55058676
slug_flow,1526,0.4461158895663921,0.48343393
slug_flow,1527,0.3080538849797705,0.43915734
slug_flow,1528,0.1556421704908798,0.3604617
slug_flow,1529,0.0619976319262245,0.27940738
slug_flow,1530,0.0147100500564199,0.28480554
slug_flow,1531,0.0341223435237007,0.25210387
slug_flow,1532,0.1149493785110345,0.2370181
slug_flow,1533,0.2318135585263696,0.21562171
slug_flow,1534,0.279676989173278,0.21289855
slug_flow,1535,0.330307171508004,0.19834444
slug_flow,1536,0.2842653494473625,0.20628776
slug_flow,1537,0.2232700629921533,0.1941238
slug_flow,1538,0.1678654822820441,0.1895908
slug_flow,1539,0.1570661443690439,0.2062504
slug_flow,1540,0.2009487943166229,0.22396219
slug_flow,1541,0.2612344410424393,0.23552844
slug_flow,1542,0.3160759087613514,0.24072538
slug_flow,1543,0.314496758242618,0.24601084
slug_flow,1544,0.3042418425769928,0.25219715
slug_flow,1545,0.2738502584538669,0.2561391
slug_flow,1546,0.2345020698912112,0.2725565
slug_flow,1547,0.2325506475690731,0.27226847
slug_flow,1548,0.2507090529269705,0.2720272
slug_flow,1549,0.2779643954370244,0.27666014
slug_flow,1550,0.3029015423775669,0.2895056
slug_flow,1551,0.293365351012169,0.28046042
slug_flow,1552,0.2930995512482809,0.2811099
slug_flow,1553,0.2772211123687518,0.27945104
slug_flow,1554,0.2560766650844734,0.2693092
slug_flow,1555,0.2636316376047333,0.2804152
slug_flow,1556,0.2658945216125852,0.29229772
slug_flow,1557,0.2753055284612214,0.27021223
slug_flow,1558,0.292165014057178,0.2737066
slug_flow,1559,0.2812276689078172,0.27579615
slug_flow,1560,0.2882882060537146,0.275212
slug_flow,1561,0.2715111335979595,0.27893573
slug_flow,1562,0.2717677618573209,0.26953185
slug_flow,1563,0.2662878096360782,0.277996
slug_flow,1564,0.2764235826765493,0.27650532
slug_flow,1565,0.2764539225351256,0.27486932
slug_flow,1566,0.2845187611601127,0.2631724
slug_flow,1567,0.282807906097703,0.285067
slug_flow,1568,0.2790903109419464,0.28338996
slug_flow,1569,0.2753247159689989,0.27138004
slug_flow,1570,0.2733791865092819,0.27041957
slug_flow,1571,0.2733143122414809,0.27986848
slug_flow,1572,0.2757278813158051,0.27786356
slug_flow,1573,0.2788015668928681,0.28405914
slug_flow,1574,0.2799670869041347,0.28731853
slug_flow,1575,0.2809448775586364,0.28165242
slug_flow,1576,0.2789537798848397,0.28469482
slug_flow,1577,0.2764219744032437,0.27606246
slug_flow,1578,0.2749710009264456,0.26864904
slug_flow,1579,0.2751788536525936,0.2795604
slug_flow,1580,0.2762644940198313,0.26853517
slug_flow,1581,0.2783925982046454,0.27272332
slug_flow,1582,0.2802675757680822,0.2800639
slug_flow,1583,0.2801906224046671,0.28349257
slug_flow,1584,0.2784862721176471,0.28737274
slug_flow,1585,0.2768614676841386,0.27667066
slug_flow,1586,0.2761576649312218,0.27685463
slug_flow,1587,0.2766035105811965,0.28097874
